created_at,account_id,utm_source,utm_medium,utm_campaign,utm_content,utm_term,m_clicks,m_cost
2022-08-08,xo-for-client-ya,yandex,cpc,48306435,8404700756,,2.0,48.84
2022-08-08,xo-for-client-ya,yandex,cpc,48306435,8813476161,,3.0,100.77600000000001
2022-08-08,xo-for-client-ya,yandex,cpc,48306435,8813476162,,1.0,10.139999999999999
2022-08-08,xo-for-client-ya,yandex,cpc,48306435,8813476163,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306435,8813476164,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306450,8404701659,,15.0,496.89599999999996
2022-08-08,xo-for-client-ya,yandex,cpc,48306450,8404701661,,5.0,124.70400000000001
2022-08-08,xo-for-client-ya,yandex,cpc,48306450,8404701663,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306450,8404701664,,5.0,160.416
2022-08-08,xo-for-client-ya,yandex,cpc,48306450,8404701665,,20.0,385.89599999999996
2022-08-08,xo-for-client-ya,yandex,cpc,48306473,8404704716,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306487,8404707409,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306487,8404707410,,2.0,34.932
2022-08-08,xo-for-client-ya,yandex,cpc,48306487,8813469519,,8.0,211.476
2022-08-08,xo-for-client-ya,yandex,cpc,48306487,8813469520,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306487,8813469522,,1.0,15.047999999999998
2022-08-08,xo-for-client-ya,yandex,cpc,48306494,8404707871,,3.0,59.459999999999994
2022-08-08,xo-for-client-ya,yandex,cpc,48306494,8404707872,,11.0,242.076
2022-08-08,xo-for-client-ya,yandex,cpc,48306494,8813466151,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306494,8813466152,,19.0,403.548
2022-08-08,xo-for-client-ya,yandex,cpc,48306494,8813466153,,3.0,51.672000000000004
2022-08-08,xo-for-client-ya,yandex,cpc,48306494,8813466154,,5.0,13.008
2022-08-08,xo-for-client-ya,yandex,cpc,48306518,8404708310,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306518,8404708311,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306518,8404708336,,0.0,0.0
2022-08-08,xo-for-client-ya,yandex,cpc,48306518,8813477635,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306435,8404700756,,2.0,45.852000000000004
2022-09-09,xo-for-client-ya,yandex,cpc,48306435,8404700757,,1.0,32.028000000000006
2022-09-09,xo-for-client-ya,yandex,cpc,48306435,8813476161,,1.0,18.624
2022-09-09,xo-for-client-ya,yandex,cpc,48306435,8813476162,,3.0,88.04400000000001
2022-09-09,xo-for-client-ya,yandex,cpc,48306435,8813476163,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306435,8813476164,,1.0,25.86
2022-09-09,xo-for-client-ya,yandex,cpc,48306450,8404701659,,6.0,229.788
2022-09-09,xo-for-client-ya,yandex,cpc,48306450,8404701661,,20.0,616.464
2022-09-09,xo-for-client-ya,yandex,cpc,48306450,8404701663,,2.0,35.94
2022-09-09,xo-for-client-ya,yandex,cpc,48306450,8404701664,,18.0,644.6400000000001
2022-09-09,xo-for-client-ya,yandex,cpc,48306450,8404701665,,6.0,125.22
2022-09-09,xo-for-client-ya,yandex,cpc,48306473,8404704716,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306473,8404704717,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306473,8813432766,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306487,8404707409,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306487,8404707410,,3.0,39.204
2022-09-09,xo-for-client-ya,yandex,cpc,48306487,8813469519,,6.0,125.436
2022-09-09,xo-for-client-ya,yandex,cpc,48306487,8813469520,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306487,8813469522,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306494,8404707871,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306518,8813477625,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306518,8813477632,,0.0,0.0
2022-09-09,xo-for-client-ya,yandex,cpc,48306518,8813477634,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306435,8404700756,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306435,8404700757,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306435,8813476161,,1.0,12.780000000000001
2022-08-09,xo-for-client-ya,yandex,cpc,48306435,8813476162,,3.0,77.47200000000001
2022-08-09,xo-for-client-ya,yandex,cpc,48306435,8813476163,,1.0,28.728
2022-08-09,xo-for-client-ya,yandex,cpc,48306435,8813476164,,3.0,73.08
2022-08-09,xo-for-client-ya,yandex,cpc,48306450,8404701659,,16.0,549.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306450,8404701661,,8.0,188.16000000000003
2022-08-09,xo-for-client-ya,yandex,cpc,48306450,8404701663,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306450,8404701664,,2.0,50.952
2022-08-09,xo-for-client-ya,yandex,cpc,48306450,8404701665,,11.0,326.7
2022-08-09,xo-for-client-ya,yandex,cpc,48306473,8404704716,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306473,8404704717,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306473,8813432765,,1.0,13.427999999999999
2022-08-09,xo-for-client-ya,yandex,cpc,48306487,8404707409,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306487,8404707410,,3.0,68.47200000000001
2022-08-09,xo-for-client-ya,yandex,cpc,48306487,8813469519,,8.0,177.156
2022-08-09,xo-for-client-ya,yandex,cpc,48306487,8813469520,,1.0,21.312
2022-08-09,xo-for-client-ya,yandex,cpc,48306487,8813469521,,1.0,12.012
2022-08-09,xo-for-client-ya,yandex,cpc,48306487,8813469522,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306494,8404707871,,3.0,92.54400000000001
2022-08-09,xo-for-client-ya,yandex,cpc,48306494,8404707872,,17.0,372.924
2022-08-09,xo-for-client-ya,yandex,cpc,48306494,8813466151,,1.0,17.904
2022-08-09,xo-for-client-ya,yandex,cpc,48306494,8813466152,,8.0,187.464
2022-08-09,xo-for-client-ya,yandex,cpc,48306494,8813466153,,2.0,66.6
2022-08-09,xo-for-client-ya,yandex,cpc,48306494,8813466154,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306518,8404708310,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306518,8813477629,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306518,8813477630,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306518,8404708337,,0.0,0.0
2022-08-09,xo-for-client-ya,yandex,cpc,48306518,8813477636,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306435,8404700756,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306435,8404700757,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306435,8813476161,,5.0,112.71600000000001
2022-08-10,xo-for-client-ya,yandex,cpc,48306435,8813476162,,3.0,92.304
2022-08-10,xo-for-client-ya,yandex,cpc,48306435,8813476163,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306435,8813476164,,4.0,81.636
2022-08-10,xo-for-client-ya,yandex,cpc,48306450,8404701659,,15.0,451.67999999999995
2022-08-10,xo-for-client-ya,yandex,cpc,48306450,8404701661,,13.0,452.508
2022-08-10,xo-for-client-ya,yandex,cpc,48306450,8404701663,,2.0,5.568
2022-08-10,xo-for-client-ya,yandex,cpc,48306450,8404701664,,6.0,144.9
2022-08-10,xo-for-client-ya,yandex,cpc,48306450,8404701665,,4.0,110.952
2022-08-10,xo-for-client-ya,yandex,cpc,48306473,8404704716,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306487,8404707409,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306487,8404707410,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306487,8813469519,,10.0,208.656
2022-08-10,xo-for-client-ya,yandex,cpc,48306487,8813469520,,1.0,19.080000000000002
2022-08-10,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306487,8813469522,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306494,8404707871,,2.0,32.736000000000004
2022-09-10,xo-for-client-ya,yandex,cpc,48306435,8404700756,,1.0,21.408
2022-09-10,xo-for-client-ya,yandex,cpc,48306435,8404700757,,0.0,0.0
2022-09-10,xo-for-client-ya,yandex,cpc,48306435,8813476161,,3.0,76.524
2022-09-10,xo-for-client-ya,yandex,cpc,48306435,8813476162,,3.0,143.796
2022-09-10,xo-for-client-ya,yandex,cpc,48306435,8813476163,,1.0,4.776
2022-09-10,xo-for-client-ya,yandex,cpc,48306435,8813476164,,1.0,22.68
2022-09-10,xo-for-client-ya,yandex,cpc,48306450,8404701659,,2.0,95.016
2022-09-10,xo-for-client-ya,yandex,cpc,48306450,8404701661,,13.0,704.448
2022-09-10,xo-for-client-ya,yandex,cpc,48306450,8404701663,,0.0,0.0
2022-09-10,xo-for-client-ya,yandex,cpc,48306450,8404701664,,8.0,457.044
2022-09-10,xo-for-client-ya,yandex,cpc,48306450,8404701665,,5.0,139.584
2022-09-10,xo-for-client-ya,yandex,cpc,48306473,8404704716,,1.0,10.643999999999998
2022-09-10,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-09-10,xo-for-client-ya,yandex,cpc,48306487,8404707409,,0.0,0.0
2022-09-10,xo-for-client-ya,yandex,cpc,48306487,8404707410,,5.0,146.71200000000002
2022-09-10,xo-for-client-ya,yandex,cpc,48306487,8813469519,,11.0,197.41199999999998
2022-09-10,xo-for-client-ya,yandex,cpc,48306487,8813469520,,0.0,0.0
2022-09-10,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-09-10,xo-for-client-ya,yandex,cpc,48306487,8813469522,,0.0,0.0
2022-09-10,xo-for-client-ya,yandex,cpc,48306518,8813477638,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306494,8404707872,,7.0,174.87599999999998
2022-08-10,xo-for-client-ya,yandex,cpc,48306494,8813466151,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306494,8813466152,,2.0,41.472
2022-08-10,xo-for-client-ya,yandex,cpc,48306494,8813466153,,2.0,66.552
2022-08-10,xo-for-client-ya,yandex,cpc,48306494,8813466154,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306518,8404708298,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306518,8813477631,,0.0,0.0
2022-08-10,xo-for-client-ya,yandex,cpc,48306518,8404708336,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306435,8404700756,,1.0,14.027999999999999
2022-08-11,xo-for-client-ya,yandex,cpc,48306435,8404700757,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306435,8813476161,,8.0,157.452
2022-08-11,xo-for-client-ya,yandex,cpc,48306435,8813476162,,3.0,113.72399999999999
2022-08-11,xo-for-client-ya,yandex,cpc,48306435,8813476163,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306435,8813476164,,5.0,85.872
2022-08-11,xo-for-client-ya,yandex,cpc,48306450,8404701659,,12.0,359.076
2022-08-11,xo-for-client-ya,yandex,cpc,48306450,8404701661,,10.0,251.844
2022-08-11,xo-for-client-ya,yandex,cpc,48306450,8404701663,,1.0,29.4
2022-08-11,xo-for-client-ya,yandex,cpc,48306450,8404701664,,7.0,184.284
2022-08-11,xo-for-client-ya,yandex,cpc,48306450,8404701665,,5.0,110.64
2022-08-11,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306473,8813432767,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306487,8404707409,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306487,8404707410,,7.0,122.42399999999999
2022-08-11,xo-for-client-ya,yandex,cpc,48306487,8813469519,,16.0,430.75199999999995
2022-08-11,xo-for-client-ya,yandex,cpc,48306487,8813469520,,2.0,26.220000000000002
2022-08-11,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306487,8813469522,,2.0,44.604
2022-08-11,xo-for-client-ya,yandex,cpc,48306494,8404707871,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306494,8404707872,,4.0,60.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306494,8813466151,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306494,8813466152,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306494,8813466153,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306494,8813466154,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306518,8813477629,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306518,8404708324,,0.0,0.0
2022-08-11,xo-for-client-ya,yandex,cpc,48306518,8813477631,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306435,8404700756,,1.0,18.192
2022-09-11,xo-for-client-ya,yandex,cpc,48306435,8404700757,,2.0,45.168
2022-09-11,xo-for-client-ya,yandex,cpc,48306435,8813476161,,2.0,94.65599999999999
2022-09-11,xo-for-client-ya,yandex,cpc,48306435,8813476162,,6.0,193.656
2022-09-11,xo-for-client-ya,yandex,cpc,48306435,8813476163,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306435,8813476164,,1.0,17.28
2022-09-11,xo-for-client-ya,yandex,cpc,48306450,8404701659,,11.0,377.856
2022-09-11,xo-for-client-ya,yandex,cpc,48306450,8404701661,,18.0,487.056
2022-09-11,xo-for-client-ya,yandex,cpc,48306450,8404701663,,3.0,56.232
2022-09-11,xo-for-client-ya,yandex,cpc,48306450,8404701664,,3.0,77.928
2022-09-11,xo-for-client-ya,yandex,cpc,48306450,8404701665,,15.0,347.88
2022-09-11,xo-for-client-ya,yandex,cpc,48306473,8404704716,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306473,8404704717,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306473,8813432766,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306487,8404707409,,1.0,39.57599999999999
2022-09-11,xo-for-client-ya,yandex,cpc,48306487,8404707410,,10.0,209.436
2022-09-11,xo-for-client-ya,yandex,cpc,48306487,8813469519,,10.0,218.988
2022-09-11,xo-for-client-ya,yandex,cpc,48306487,8813469520,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306487,8813469522,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306518,8813477625,,0.0,0.0
2022-09-11,xo-for-client-ya,yandex,cpc,48306518,8404708324,,0.0,0.0
2022-08-12,xo-for-client-ya,yandex,cpc,48306435,8404700756,,2.0,24.336000000000002
2022-08-12,xo-for-client-ya,yandex,cpc,48306435,8404700757,,0.0,0.0
2022-08-12,xo-for-client-ya,yandex,cpc,48306435,8813476161,,2.0,47.964
2022-08-12,xo-for-client-ya,yandex,cpc,48306435,8813476162,,2.0,31.284
2022-08-12,xo-for-client-ya,yandex,cpc,48306435,8813476163,,0.0,0.0
2022-08-12,xo-for-client-ya,yandex,cpc,48306435,8813476164,,2.0,56.568
2022-08-12,xo-for-client-ya,yandex,cpc,48306450,8404701659,,2.0,45.204
2022-08-12,xo-for-client-ya,yandex,cpc,48306450,8404701661,,5.0,191.05200000000002
2022-08-12,xo-for-client-ya,yandex,cpc,48306450,8404701663,,3.0,105.36
2022-08-12,xo-for-client-ya,yandex,cpc,48306450,8404701664,,8.0,197.316
2022-08-12,xo-for-client-ya,yandex,cpc,48306450,8404701665,,7.0,176.952
2022-08-12,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-08-12,xo-for-client-ya,yandex,cpc,48306487,8404707409,,1.0,5.46
2022-08-12,xo-for-client-ya,yandex,cpc,48306487,8404707410,,0.0,0.0
2022-08-12,xo-for-client-ya,yandex,cpc,48306487,8813469519,,2.0,23.555999999999997
2022-08-12,xo-for-client-ya,yandex,cpc,48306487,8813469520,,1.0,21.276
2022-08-12,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-08-12,xo-for-client-ya,yandex,cpc,48306487,8813469522,,0.0,0.0
2022-08-12,xo-for-client-ya,yandex,cpc,48306494,8404707871,,4.0,58.343999999999994
2022-08-12,xo-for-client-ya,yandex,cpc,48306494,8404707872,,19.0,497.412
2022-08-12,xo-for-client-ya,yandex,cpc,48306494,8813466151,,0.0,0.0
2022-08-12,xo-for-client-ya,yandex,cpc,48306494,8813466152,,5.0,106.68
2022-08-12,xo-for-client-ya,yandex,cpc,48306494,8813466153,,3.0,66.94800000000001
2022-08-12,xo-for-client-ya,yandex,cpc,48306494,8813466154,,0.0,0.0
2022-08-13,xo-for-client-ya,yandex,cpc,48306435,8404700756,,2.0,84.012
2022-08-13,xo-for-client-ya,yandex,cpc,48306435,8404700757,,0.0,0.0
2022-08-13,xo-for-client-ya,yandex,cpc,48306435,8813476161,,5.0,168.43200000000002
2022-08-13,xo-for-client-ya,yandex,cpc,48306435,8813476162,,4.0,123.588
