created_at,lead_id,utm_source,utm_medium,utm_campaign,utm_content,utm_term,client_id
2022-10-16,d8c4a9e8-4d4a-11ed-907e-848f69e142cf,,,,,,d8c4a9e9-4d4a-11ed-907e-848f69e142cf
2022-10-16,c48f9767-4d4a-11ed-907e-848f69e142cf,,,,,,c48f9768-4d4a-11ed-907e-848f69e142cf
2022-10-16,d74ac455-4d49-11ed-907e-848f69e142cf,vkontakte,social,kartasetevaya,,,f64c97d5-31ff-11ea-abeb-c412f533dba1
2022-10-16,0f69e77d-4d46-11ed-907e-848f69e142cf,,,,,,
2022-10-16,620ee1eb-4d45-11ed-907e-848f69e142cf,ycard,social,all,,,
2022-10-16,448ebdff-4d45-11ed-907e-848f69e142cf,,,,,,f4b302d2-0202-11e9-ab84-c412f533dba1
2022-10-16,848d886a-4d42-11ed-907e-848f69e142cf,,,,,,fa0bb302-4afb-11ed-907e-848f69e142cf
2022-10-16,c61a0cb0-4d38-11ed-907e-848f69e142cf,,,,,,0a2bd774-6fd8-11e7-80fc-c412f533dba1
2022-10-16,944b137f-4d37-11ed-907e-848f69e142cf,vkontakte,social,student,,,cbd69842-947a-11eb-ac2c-c412f533dba1
2022-10-16,b5a8aeb5-4d36-11ed-907e-848f69e142cf,,,,,,927b9e4b-4d36-11ed-907e-848f69e142cf
2022-10-16,48a30367-4d35-11ed-907e-848f69e142cf,,,,,,48a30368-4d35-11ed-907e-848f69e142cf
2022-10-16,6ff6904e-4d31-11ed-907e-848f69e142cf,vk,cpc,15,,,b46f40c3-6fd6-11e7-80fc-c412f533dba1
2022-10-16,29159193-4d31-11ed-907e-848f69e142cf,vk,cpc,2,,,
2022-10-16,1a25581a-4d31-11ed-907e-848f69e142cf,vk,cpc,900,,,
2022-10-16,0b4f578e-4d31-11ed-907e-848f69e142cf,vk,cpc,100,,,a9778bea-4d58-11ed-907e-848f69e142cf
2022-10-16,01f1faab-4d31-11ed-907e-848f69e142cf,vk,cpc,2,,,e1d3c555-4d38-11ed-907e-848f69e142cf
2022-10-16,de9ec206-4d30-11ed-907e-848f69e142cf,vk,cpc,900,,,e1ee2e04-4d39-11ed-907e-848f69e142cf
2022-10-16,b67557da-4d30-11ed-907e-848f69e142cf,vkmegacity,cpc,fizmega,,,c2a3dc29-4d30-11ed-907e-848f69e142cf
2022-10-16,a92656be-4d30-11ed-907e-848f69e142cf,vkmegacity,cpc,fizmega,,,856f7756-4d3b-11ed-907e-848f69e142cf
2022-10-16,810d4f99-4d2f-11ed-907e-848f69e142cf,,,,,,
2022-03-25,9bfc81d7-ac54-11ec-9060-848f69e142c9,,,,,,9bfc81d8-ac54-11ec-9060-848f69e142c9
2022-10-16,7547e3f9-4d29-11ed-907e-848f69e142cf,,,,,,7547e3fa-4d29-11ed-907e-848f69e142cf
2022-10-16,90f3468a-4d26-11ed-907e-848f69e142cf,,,,,,989f5e65-4c7d-11ed-907e-848f69e142cf
2022-10-16,1db73f15-4d25-11ed-907e-848f69e142cf,,,,,,1db73f16-4d25-11ed-907e-848f69e142cf
2022-10-16,540f84d3-4d22-11ed-907e-848f69e142cf,,,,,,5c5bd324-4d22-11ed-907e-848f69e142cf
2022-04-19,117c37b6-c014-11ec-9063-848f69e142cf,sms,email,1,,,7600c071-cb20-11ea-ac0f-c412f533dba1
2022-04-19,9d7c7de3-c012-11ec-9063-848f69e142cf,sms,email,1,,,db2e9b5a-3121-11ea-abeb-c412f533dba1
2022-10-16,424ce161-4d22-11ed-907e-848f69e142cf,,,,,,424ce162-4d22-11ed-907e-848f69e142cf
