Num;                 Наименование вещества                ;  N CAS   ;Формула; Величина ПДК, мг/л  ;Лимитирующий показатель вредности      ;Класс опасности
1; 6-Аза 2,4-диокса-5-имино-6-цианиминононан-7-он;          ;CHNO               ;3;    с.-т.         ;2
2; 4,4`-Азобис (4-цианпентановая кислота);2638-94-0 ;CHNO               ;0,25;   орг.зап.       ;4
3; Алкенилсульфонат натрия;          ;                   ;0,5;   орг.пена       ;4
4; АлкенилС12-14сульфонаты                              ;          ;                   ;0,4;   орг.пена       ;4
5; АлкенилС15-18сульфонаты                              ;          ;                   ;0,2;    с.-т.         ;2
6; Алкиламидометансульфонат натрия                      ;          ;                   ;0,5;   орг.пена       ;3
7; Алкиламинобензол                                     ;          ;                   ;0,003;    с.-т.         ;2
8; АлкилС17-20аминопропионитрил                         ;          ;                   ;0,05;   орг.пена       ;4
9; АлкилС7-9амины                                       ;          ;                   ;0,1;   орг.зап.       ;3
10; АлкилС10-15-амины                                    ;          ;                   ;0,04;   орг.зап.       ;4
11; АлкилС16-20амины                                     ;68037-92-3;                   ;0,03;   орг.зап.       ;4
12; АлкилС10-16бензилдиметиламинийхлорид                 ;          ;                   ;0,3;   орг.пена       ;3
13; АлкилС17-20бензилдиметиламинийхлорид                 ;          ;                   ;0,5;   орг.пена       ;3
14; Алкилбензолсульфонат аммония                         ;          ;                   ;1;    с.-т.         ;3
15; Алкилбензолсульфонат кальция                         ;          ;                   ;0,2;   орг.пена       ;4
16; Алкилбензолсульфонат натрия                          ;          ;                   ;0,4;   орг.пена       ;3
17; Алкилбензолсульфонат триэтаноламина                  ;          ;                   ;1;   орг.пена       ;3
18; Алкилбензолсульфонаты                                ;          ;                   ;0,5;   орг.пена       ;4
19; Алкилгидроксибензол сланцевый                        ;          ;                   ;0,1;   орг.пена       ;3
20; альфаАлкил12-15-омега-гидроксиполи(оксиэтан-1,2-диил);          ;                   ;0,1;   орг.пена       ;4
21; альфа-Алкил-омега-гидроксиполи(оксиэтан-1,2-диил)-2-сульфобутандиоат динатрия;          ;                   ;0,1;   орг.пена       ;4
22; Алкилдиметиламин                                     ;          ;                   ;0,2;    с.-т.         ;3
23; Алкилдиметиламина оксид                              ;          ;                   ;0,4;    с.-т.         ;2
24; альфаАлкилС18-20-омега-оксиметиленди(оксиэтан-1,2-диил) диэтилментанаминийбензолсульфат;11098-05-8;CHNOS              ;0,5;   орг.пена       ;4
25; Алкилпропендиамин                                    ;          ;                   ;0,15;   орг.зап.       ;4
26; Алкилсульфат первичный                               ;          ;                   ;0,5;   орг.пена       ;3
27; Алкилсульфаты                                        ;          ;                   ;0,5;   орг.пена       ;4
28; Алкилсульфобутандиоат динатрия                       ;          ;                   ;0,5;    с.-т.         ;3
29; Алкилсульфобутандиовая кислота                       ;          ;                   ;0,1;    с.-т.         ;2
30; АлкилС11-18сульфонат натрия                          ;          ;                   ;0,4;    с.-т.         ;2
31; Алкилсульфонаты                                      ;          ;                   ;0,5;   орг.пена       ;4
32; Алкилтриметиламинийхлорид                            ;          ;                   ;0,2;    с.-т.         ;2
33; Альфанол                                             ;          ;                   ;0,1;   орг.пена       ;4
34; Алюминий                                             ;7429-90-5 ;Al                 ;0,2;  орг.мутн.       ;3
35; Алюминий гидроксид хлорид /по алюминию/              ;12042-91-0;AlClHO             ;0,2;  орг.мутн.       ;3
36; тетраАлюминий дикалий диалюмогексасиликат тетрагидроксид;1200-26-2 ;AlKOSiH            ;0,25;  орг.мутн.       ;4
37; Амин нитропарафиновый обогащенный                    ;          ;                   ;0,15;  орг.привк.      ;4
38; 4-Амино-N- (аминоиминометил) бензолсульфонамид; 57-67-0  ;CHNOS              ;0,01;     общ.         ;3
39; 5-Амино-2 (4-аминофенил)-lH-бензимидазол             ;7621-86-5 ;CHN                ;1;    с.-т.         ;2
40; 1-Аминоантрацен-9,10-дион                            ; 82-45-1  ;CHNO               ;10;    с.-т.         ;2
41; 2-Аминобензойная кислота                             ; 118-92-3 ;CHNO               ;0,1;     общ.         ;3
42; 3-Аминобензойная кислота                             ; 99-05-8  ;CHNO               ;10;   орг.окр.       ;4
43; 4-Аминобензойная кислота                             ; 150-13-0 ;CHNO               ;0,1;    с.-т.         ;3
44; 4-Аминобензойной кислоты фосфат                      ;          ;CHNO+ HOP          ;0,1;   орг.зап.       ;3
45; Аминобензол                                          ; 62-53-3  ;CHN                ;0,1;    с.-т.         ;2
46; 4-Аминобензолсульфонамид                                                                                               ; 63-74-1  ;CHONS              ;0,5;   общ.           ;4
47; 3-Аминобензолсульфоновая кислота                                                                                       ; 121-47-1 ;CHNOS              ;0,7; орг.окр.         ;4
48; 1-Амино-4-бутилбензол                                                                                                  ; 104-13-2 ;CHN                ;0,4; орг.зап          ;3
49; 1-Амино-2-гидроксибензол                                                                                               ; 95-55-6  ;CHNO               ;0,01; орг.окр.         ;4
50; 4-Амино-2-гидроксибензол                                                                                               ; 123-30-8 ;CHNO               ;0,05; орг.окр.         ;4
51; 5-Амино-2-гидроксибензойная кислота                                                                                    ; 89-57-6  ;CHNO               ;0,5; орг.окр.         ;4
52; 2-Амино-1-гидрокси-2,4-динитробензол                                                                                   ; 96-91-3  ;CHNO               ;0,1;   общ.           ;4
53; 4-Амино-1-гидрокси-3-хлорбензол                                                                                        ;17609-80-2;CHClNO             ;0,1; орг.окр.         ;4
54; 4-Амино-2-(2-гидроксиэтил)-N-этиламинобензол сульфит                           ;          ;CHNO + HOS         ;0,2; орг.зап.         ;3
55; 7-Аминодезацетоксицефалоспорановая кислота                                                                             ;          ;CHNOS              ;0,001;  с.-т.           ;2
56; 4-Амино-N-(2,4-диаминофенил)бензамид                                                                                   ;60779-50-2;CHNO               ;0,02;  с.-т.           ;2
57; 1-Амино-2,4-дибромантрацен-9,10-дион                                                                                   ; 81-49-2  ;СHВгNО             ;10;   общ.           ;3
58; 4-Амино-N-(4,6-диметил-2-пиридинил)бензолсульфонамид             ; 57-68-1  ;CHNOS              ;1;   общ.           ;3
59; 4-Амино-6-(1,1-диметилэтил)-3-(метилтио)-1,2,4-триазин-5(4Н)-он;21087-64-9;CHNS               ;0,1;   общ.           ;4
60; 1-Амино-2,4-динитробензол                                                                                              ; 97-02-9  ;СННО               ;0,05; орг.окр.         ;4
61; 1-Амино-2,5-динитробензол                                                                                              ; 619-18-1 ;CHNO               ;0,05; орг.окр.         ;4
62; 1-Амино-3,4-динитробензол                                                                                              ; 610-41-3 ;CHNO               ;0,05; орг.окр.         ;4
63; 4-Аминодифениламин                                                                                                     ; 101-54-2 ;CHN                ;0,005;  с.-т.           ;2
64; 3-Амино-2,5-дихлорбензойная кислота                                                                                    ; 133-90-4 ;CHClNO             ;0,5;   общ.           ;3
65; 2-(Аминоимидметан)тиоэтановая кислота                                                                                  ;          ;CHNOS              ;0,4;  с.-т.           ;2
66; 1-Амино-З-метилбензол                                                                                                  ; 108-44-1 ;CHN                ;0,6;   с-т.           ;2
